id,texto
1,No te dije nada sobre aquello que te molestó y no me di cuenta cuando lo insinuaste mientras veía fútbol
2,No te regalé nada por tu cumpleaños solo porque me dijiste que no querías ningún regalo
3,Te pregunté sobre aquel chico al que le dabas me gustas en facebook cuando vi fotos de su pene en tu móvil
4,Le contesté a mi compñaera cuando me preguntó mi opinión sobre aquella serie de la que todos hablan en el trabajo
5,Te pregunté con quien hablabas quel día que saliste corriendo de la habitación para contestar una videollamada
6,Me preguntaste en qué pensaba y dije “en nada”…
